Image,Path,Reference,isCalibrated,sppName,sppID,REGION Area cm2,SPECIES Area cm2,TOTAL Area cm2,REGION Cov %,SPECIES Cov %,TOTAL Cov %,Region Area pix,Species Area pix,Total Area pix,CentroidX,CentroidY,Eccentricity,Orientation,Perimeter pix,Perimeter cm,EquivDiameter pix,EquivDiameter cm,perimRoughness,PerimOverArea,BoundingBox Area Pix,BoundingBox Area cm2,MajorAxisLength pix,MajorAxisLength cm,MinorAxisLength pix,MinorAxisLength cm,ref Area pix,ref Area cm2,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,hasPockets,user notes
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,1.61854,25.1932,1407.82,0.0454694,0.707748,39.5496,5299,82481,4.61E+06,1842.11,1365.3,0.842568,-21.144,419.262,7.327,82.1395,1.436,36.357,0.079121,13000,3.971,136.217,2.381,73.3653,1.282,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,1.32043,25.1932,1407.82,0.0370945,0.707748,39.5496,4323,82481,4.61E+06,2089.05,1529.4,0.70244,-85.8896,289.664,5.062,74.1904,1.297,18.7418,0.0670053,7526,2.299,91.8038,1.604,65.3407,1.142,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,2.88093,25.1932,1407.82,0.0809336,0.707748,39.5496,9432,82481,4.61E+06,1982.43,1677.63,0.55701,86.7372,632.198,11.049,109.586,1.915,33.9517,0.0670269,20672,6.314,151.696,2.651,125.985,2.202,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,2.23401,25.1932,1407.82,0.0627595,0.707748,39.5496,7314,82481,4.61E+06,2285.98,2768.95,0.957983,69.1493,567.931,9.926,96.5012,1.687,50.7161,0.0776499,20088,6.136,225.88,3.948,64.7884,1.132,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,1.12372,25.1932,1407.82,0.0315685,0.707748,39.5496,3679,82481,4.61E+06,2297.9,2565.91,0.784707,-7.16099,249.238,4.356,68.4416,1.196,18.7101,0.067746,5046,1.541,88.0701,1.539,54.5917,0.954,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Other (Sponge encrusting),185,2.9857,25.1932,1407.82,0.0838768,0.707748,39.5496,9775,82481,4.61E+06,2577.81,2787.75,0.745665,34.9844,494.333,8.639,111.561,1.95,23.2882,0.0505712,18886,5.769,144.605,2.527,96.3532,1.684,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Crustose coraline,215,50.4417,50.4417,1407.82,1.41705,1.41705,39.5496,165143,165143,4.61E+06,2422.33,1436.33,0.780309,16.5944,3530.19,61.697,458.548,8.014,24.8151,0.0213766,303620,92.738,626.739,10.953,391.959,6.85,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Dictyota sp.,225,83.4129,449.963,1407.82,2.34331,12.6407,39.5496,273089,1.47E+06,4.61E+06,1174,758.904,0.688711,55.0548,5575.24,97.438,589.667,10.306,30.4299,0.0204155,702400,214.543,894.294,15.63,648.395,11.332,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Dictyota sp.,225,40.7711,449.963,1407.82,1.14537,12.6407,39.5496,133482,1.47E+06,4.61E+06,2163.58,555.279,0.868421,-82.8653,2117.68,37.011,412.255,7.205,33.87,0.0158649,281588,86.009,665.629,11.633,330.037,5.768,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
C04_01_ortomo.jpg,C:\Users\Gloria\Desktop\Tesis\Cobertura\Ortomosaicos\,Quadrat,Yes,Dictyota sp.,225,4.08682,449.963,1407.82,0.11481,12.6407,39.5496,13380,1.47E+06,4.61E+06,2230.23,194.202,0.743314,-45.7767,542.801,9.486,130.522,2.281,21.8398,0.0405681,25972,7.933,170.454,2.979,114.024,1.993,1.17E+07,3559.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,none
